,title,price
134,(MYSET) Xiaomi Redmi Note 11 Pro 4G (8GB + 128GB) Smartphones 1 Year Xiaomi Malaysia Warranty,"RM1,049.00"
135,[CLEARENCE STOCK PROMO!!] Redmi 10 Smartphones [ 4GB RAM + 128GB /64GB ROM] 1 Year Warranty By Xiaomi Malaysia With Freebies,RM589.00
136,"PROMO!!! Xiaomi Redmi A1 (2GB RAM + 32GB ROM) MediaTek Helio A22 | Size: 6.52"" HD+ | 5000mAh | 10W fast charger With 1 Year Warranty By Xiaomi Malaysia",RM325.00
137,[Malaysia Set] Xiaomi Redmi A1 (32GB ROM | 2GB RAM) Smartphone with 1 Year Xiaomi Malaysia Warranty,RM329.00
138,REDMI Note 11S (8GB+128GB) Twillight Blue UM,RM999.00
139,Xiaomi Mi 9T ( 6GB RAM + 64GB ROM ) ORIGINAL SET 1 Year Warranty,"RM1,088.00"
140,ORIGINAL NEW REDMI 10 4GB + 64GB / 6GB + 128GB,RM607.00
141,Xiaomi Mi 11 Lite Smartphones | 8GB RAM + 128GB ROM | Snapdragon 732G] 1 Year Warranty By Xiaomi Malaysia,"RM1,199.00"
142,REDMI BUDS 4 | 4 PRO | 3 LITE | 3T PRO | 3 PRO | 3,RM99.00
143,"Xiaomi Redmi Note 8 Smartphone Snapdragon 665 Octa Core 6.3"" 4000mAh 48MP Cellphones hot sales",RM729.00
144,Redmi K40 / K40 Pro / K40 Pro Plus 5G Phone Snapdragon 888 Smartphone MI K40 Redmi k40 pro + XIAOMI mi k40pro NEW SET.,"RM1,650.00"
145,"[EASY] Redmi A1 (2GB + 32GB ) 6.52""inch Bigger Screen l 5000mAH Battery 1 Year Xiaomi Malaysia Warranty",RM359.00
146,Redmi K40 5G Phone Snapdragon 870 Smartphone New set One Year Warranty MI redmi k40 XIAOMI MI,"RM1,650.00"
147,"[Malaysia Set] Xiaomi Redmi 10C Smartphone with SnapDragon 680, 6.71"" Dot Drop display, 5000 mAh Battery, and with Free Gifts- 1 Year Xiaomi Malaysia Warranty",RM550.00
148,Mi 11 lite 8+128,"RM1,199.00"
149,"Redmi Note 11 Pro - Atlantic Blue (6.67"" | 8GB RAM \ 128GB ROM | Dual Sim) UM","RM1,299.00"
150,Redmi 9A,RM359.00
151,[EASY] Used 95% New Condition Redmi Note 4 (RAM-3GB+ROM-64GB),RM249.00
